id;comments
40;smiling_face_with_heart-eyes
40;
40;Can I ask aquestion to you.
40;I knew it i knew it ,it was u in tht ad
40;loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face red_heart
40;
40;Intezaar of people start taking photos with you
40;camera_with_flash
40;
40;Arre so sundar
40;weary_face
40;
40;Not the Spotify ad
40;loudly_crying_face
40;
40;@jeez.shreya
40;Bruise on your knee
41;Cringe
41;You look stunning
41;hundred_points
41;
41;Check DM for something exciting
41;watermelon
41;
41;
41;smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes fire fire fire red_heart red_heart red_heart
41;
41;who are u flirting with this is so embaradsig for y
41;was that a bird or a plane
41;Real I'd se aa aryan Khan
41;Hey, we have a very exciting event coming up. Kindly check your DMs
41;)
41;Bro how are your chashmas floating?
41;@aryaan_patel67  is impersonating you
42;
42;fire fire
42;
42;I like your insAllah part
42;smiling_face_with_heart-eyes
42;
42;InshaAllah
42;Insha Allah
42;
42;clapping_hands clapping_hands clapping_hands clapping_hands raising_hands
42;
42;
42;FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button Palestinian_Territories Palestinian_Territories Palestinian_Territories Palestinian_Territories FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button FREE_button
42;
42;
42;fire clapping_hands_medium-dark_skin_tone clapping_hands_medium-dark_skin_tone clapping_hands_medium-dark_skin_tone clapping_hands_medium-dark_skin_tone clapping_hands_medium-dark_skin_tone
42;
42;Aamiin
42;smiling_face_with_heart-eyes
42;
42;
42;red_heart red_heart red_heart red_heart red_heart red_heart
42;
42;@martinygu91 noooooo frrrrrrrrrrr let's go watch it together when it come out
42;face_with_tears_of_joy red_heart
42;
43;I want to make my own too can u please tell about it
43;beaming_face_with_smiling_eyes
43;
43;"There's a visually similar looking webtoon called ""there are no demons"" have a quick peak on that"
43;Yani ki??
43;Iwantyoutomakemydesigntoo
43;red_heart
43;
43;im scared
43;this fucks immensely
43;Are u still doing CS
43;face_with_tears_of_joy
43;?
43;looking borderline mitthu don
43;Reply to my email bro
43;loudly_crying_face
43;
44;The most basic ass project in NLP but well, at least you did something so that's good job!
44;Msg karo
44;Handsome
44;smiling_face_with_heart-eyes
44;
44;So is no one gonna talk about the pubic trust?
44;Tum aunties ki daaru party mein invite maang rhe thhe na, dekha maine!!
44;moustache dev is giving dharavi gunda vibes
44;Do u cross reference information based on other news sources or do u exploit writing styles in training data?
44;So project pic is for you still doing CS, have any idea what __init__() is?
44;Pubic trust
44;Solid problem to solve, love the idea of the project, much needed indeed
45;No Talent, Horrible Performance, Yells out at other performers concerts, can't take a boooo from audience. She's trying to be old school Miley Cyrus. Only difference is that Miley can sing, Likeable, knew how to push buttons but keep it with talent. Lord what an attention seeker
45;clown_face
45;
45;8th bro is tryna be hot
45;face_with_tears_of_joy
45;
45;Corporate Pride
45;Love this outfit!!
45;fire smiling_face_with_heart-eyes red_heart
45;
45;
45;You rock those clothes JoJo
45;Hey u song stealer
45;@itsjojosiwa I like your costume
46;Why she dressed like that
46;@itsjojosiwa You have issues. I really don’t know what your problem is these days.
46;
46;Pizza gate
46;Another Miley pose-give it up
46;Is this a guy
46;I hungry
46;jojo u jus made my day
46;beaming_face_with_smiling_eyes
46;
46;trust me I want to miss out
46;Why are people like you famous? You’re an idiot
47;Happy Birthday
47;I remember my first beer
47;Disney ears.....100% grooming. If you're a parent and don't agree you're oblivious.
47;KAAAARMA A BBBBBB
47;IMM YOUR BIGGEST FAAAAN
47;
47;face_blowing_a_kiss face_blowing_a_kiss face_blowing_a_kiss face_blowing_a_kiss face_blowing_a_kiss
47;
47;
47;fire fire fire
47;
47;@siomyflawless ur joking
48;please block me
48;Buying these noodles rn rn
48;goddamn
48;god damn hahahaha.
48;ishaan im so mf proud of you actually
48;these are actually v tasty
48;Flight nostalgia
48;Once upon a time Ishan used to post “funny” reels
49;<<3
49;That confident smile completes the picture perfectly
49;hundred_points red_heart
49;
49;9/10 is the visual representation of what we say “men in suits
49;face_exhaling
49;”
49;
49;red_heart red_heart raising_hands
49;
49;Sasta deeway
49;moai
49;
49;Stepmom ummmm
49;@_riddhi_uppal shaadi scenes with me when
49;Mans is so damn beautiful
49;pleading_face pinched_fingers_medium_skin_tone
49;
49;@_a_v_e_y_ blockbuster movie avi bhai
50;you in a black kurta>>>>>>
50;smiling_face_with_heart-eyes
50;
50;You are looking very handsome in kurta.
50;smiling_face_with_heart-eyes smiling_face_with_heart-eyes
50;
50;this is my favourite picture of u
50;Kuttta
50;face_with_open_mouth
50;
50;Hairstyle tutorial when
50;
50;fire
50;
50;
50;smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes
50;
50;Please check your inbox
50;Cute
50;smiling_face_with_heart-eyes
50;
51;
51;red_heart red_heart red_heart red_heart
51;
51;@thasifig___
51;GOD IS A WOMAN and it's definitely you.
51;Pookie I got you ye konsa filter hai iska naam bata do aur Instagram ka hi hai na
51;winking_face_with_tongue
51;
51;Jaanvi Kapoor without lip filler
51;raising_hands red_heart
51;
51;
51;white_heart white_heart
51;
51;Saree ki hi izzat rkh leti bhen
51;@_a.ananyyaa omg
51;smiling_face_with_heart-eyes smiling_face_with_heart-eyes
51;
52;Amaterasu
52;Eru desu ka ?
52;Re saale pagal
52;@its.swati.here crush update. Ok by.
53;Life goes .. On n on n on n on n ln
53;Onion
53;place_of_worship wind_face
53;
53;
53;onion onion onion onion onion
53;
53;Life goes on
53;Down the hill
53;broken_heart
53;
53;Out
53;Yesss just move forward... anyways look Cute here
53;cherry_blossom
53;
54;
54;red_heart red_heart
54;
54;
54;smiling_face_with_heart-eyes smiling_face_with_heart-eyes
54;
54;Super
54;Random gc? Dm
55;Tanee don’t show
55;crying_face
55;
55;Aah look at the pinned tweet but girl doesn't wanna speak about sindhi hindu girls who forcefully converted in pakistan and literally roams around with pakistanis
55;face_vomiting face_vomiting
55;
55;
55;red_heart red_heart
55;
55;
55;fire fire fire
55;
55;
55;smiling_face_with_heart-eyes smiling_face_with_heart-eyes
55;
55;
55;white_heart
55;
55;@tanya_prvttt
56;jacket from?
56;You go girl!! You are literally living my dreams! I am so happy to see you travelling! Be the best
56;When you realise that your country is most the beautiful place on planet
56;ringed_planet
56;
56;growing_heart red_heart
56;@the.rebel.kid
56;
56;red_heart loudly_crying_face
56;
56;
56;growing_heart loudly_crying_face
56;
56;Cute
56;red_heart
56;
56;for some reason jatin merko buddy kam bunny zada lagne laga hai
56;ribbon
56;
56;
56;growing_heart growing_heart
56;
56;Read the caption and thought I'll tag you @manalishah_
57;Can you drop a link of red Zara dress pls.. loved it
57;red_heart
57;
57;Hiii
57;Uhh so cute i know uhh text me
57;loudly_crying_face
57;
57;Uhh so cute i know uhh text me
57;loudly_crying_face
57;
58;귀여운
58;raising_hands
58;
58;Good
58;beating_heart
58;morning
58;Hot.luking.jaan
58;fire fire fire
58;.love.you.tu
58;smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes
58;
58;
58;fire fire
58;
58;Pretty bbg
58;loudly_crying_face white_heart
58;
58;I'M IN LOVE WITH YOUR OUTFIT
58;white_heart white_heart white_heart white_heart smiling_face_with_heart-eyes smiling_face_with_heart-eyes
58;
58;
58;red_heart fire
58;
58;sooo cute
58;ribbon ribbon ribbon
58;
58;Which place is this
58;red_heart
58;
59;Congratulations!!!!!
59;clapping_hands party_popper
59;
59;Oooh! I just realised that you and my cousin went to the same school and graduated on the same day
59;raising_hands
59;
59;the saree looks unreal
59;smiling_face_with_heart-eyes
59;
59;soosoo beautiful congratulations cutieee!!! face_holding_back_tears
59;red_heart red_heart
59;
59;Muje tum most most most most most beautiful girl in the world
59;globe_showing_Europe-Africa woman_dancing heart_suit
59;lagti ho
59;Advertisement me bhi graduation hoti hai !?
59;Congratulations
59;party_popper party_popper party_popper
59;
59;Congratulations
60;6/9 9/9
60;red_heart
60;
60;gimme ur outfits
60;hiii girl, you should definitely create a reel about funngro, it will help out your teen audience tremendously ,,please check it out
60;Adorbbbbbbbbbb
60;purple_heart
60;
60;See my memes pagee
60;fire
60;
